"","ID","Sample.Plate","Species","Region","Site","CollectionDate","Season","Rain","sampleName","fileName","totalSym","propA","propB","propC","propD","dom","coDom","background"
"16","urban_158 rex","Sample 5_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet","Sample 5","UrbanPopgen_Plate05_6-30-23_data.csv",1,0.490084527425988,0,5.68802883947651e-05,0.509858592285617,"","AD","C"
"17","urban_082","Sample 10_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami offshore","Emerald Reef","22-Oct","Fall","Wet","Sample 10","UrbanPopgen_Plate06_6-30-23_data.csv",1,0.138726310046132,0,0.000154315719638458,0.861119374234229,"D","DA","C"
"18","nmfs_053","Sample 6_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami offshore","Rainbow Reef","21-Feb","Winter","Dry","Sample 6","UrbanPopgen_Plate08_7-3-23_data.csv",1,0,0.00563731003363855,1.79976538608638e-05,0.994344692312501,"D","D","BC"
"19","urban_094","Sample 9_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami offshore","Rainbow Reef","22-Oct","Fall","Wet","Sample 9","UrbanPopgen_Plate08_7-3-23_data.csv",1,0.222269911140663,0.651651355324134,0.0200529960097182,0.106025737525485,"B","BAD","C"
"20","nmfs_066","Sample 1_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry","Sample 1","UrbanPopgen_Plate10_7-5-23_data.csv",1,0.000623517310186389,0,0,0.999376482689814,"D","D","A"
"21","nmfs_075","Sample 6_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry","Sample 6","UrbanPopgen_Plate10_7-5-23_data.csv",1,0.0172038953861432,0,0,0.982796104613857,"D","D","A"
"22","urban_153","Sample 5_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet","Sample 5","UrbanPopgen_Plate11_7-6-23_data.csv",1,0.0016562926933716,0,0,0.998343707306628,"D","D","A"
"23","OS1 rex","Sample 1_UrbanPopgen_Plate18_7-10-23_data.csv","Pseu","Miami offshore","Emerald Reef","22-Jun","Summer","Wet","Sample 1","UrbanPopgen_Plate18_7-10-23_data.csv",1,0.0272588804172419,0,0,0.972741119582758,"D","D","A"
"24","nmfs_024","Sample 12_UrbanPopgen_Plate17_7-10-23_data.csv","Pseu","Miami offshore","Emerald Reef","21-Jan","Winter","Dry","Sample 12","UrbanPopgen_Plate17_7-10-23_data.csv",1,0.000573547825578551,0.999426452174421,0,0,"B","B","A"
"25","nmfs_006","Sample 12_UrbanPopgen_Plate19_7-10-23_data.csv","Pseu","Miami offshore","Rainbow Reef","21-Jan","Winter","Dry","Sample 12","UrbanPopgen_Plate19_7-10-23_data.csv",1,0.0017890284057079,0.998210971594292,0,0,"B","B","A"
"26","UR20","Sample 1_UrbanPopgen_Plate26_7-11-23_data.csv","Pseu","Miami urban","MacArthur North","22-Jun","Summer","Wet","Sample 1","UrbanPopgen_Plate26_7-11-23_data.csv",1,0.0032721377866374,0.00478747522620642,0,0.991940386987156,"D","D","AB"
"27","urban_023","Sample 7_UrbanPopgen_Plate29_7-13-23_data.csv","Pseu","Miami urban","Star Island","22-Jul","Summer","Wet","Sample 7","UrbanPopgen_Plate29_7-13-23_data.csv",1,0.036430353460249,0.924263793642446,0.00128017352944597,0.0380256793678588,"B","B","ACD"
"28","urban_036","Sample 3_UrbanPopgen_Plate30_7-13-23_data.csv","Pseu","Miami urban","Star Island","22-Jul","Summer","Wet","Sample 3","UrbanPopgen_Plate30_7-13-23_data.csv",1,0.0107371754560583,0.989167367639322,9.54569046199031e-05,0,"B","B","AC"
